Question,Intent
Kindly Duration of M.Tech fees course?,fees
I want to know What labs are available for Electrical Engineering students?,electrical_courses
Please Fees for admission process program?,admissions
I want to know Duration of medical facilities course?,infrastructure
Kindly Can I apply for wifi?,hostel
I want to know Hostel fees for hostel students?,hostel
Please Is canteen available at NIET?,infrastructure
I want to know Placement details for gym,infrastructure
I want to know Duration of hostel course?,hostel
I want to know Does NIET offer admission?,admissions
Please What services are included in wifi?,hostel
Can you explain about admission date?,admissions
I want to know Tell me about hostel facility,hostel
Can you please Eligibility for Electrical department?,electrical_courses
I want to know Can you explain about admission process?,admissions
I want to know What courses are offered in Civil course?,civil_courses
Can you please Is campus available on campus?,infrastructure
Can you please How is library at NIET?,infrastructure
I want to know Placement details for JEE admission,admissions
I want to know Career opportunities in Mechanical Engineering,mechanical_courses
Kindly Can I apply for AI program?,ai_courses
I want to know Is AI program available at NIET?,ai_courses
I want to know Career opportunities in hostel,hostel
Can you please Is highest package available at NIET?,placement
Can you please What is Civil department?,civil_courses
Please Does NIET offer highest package?,placement
Please Tell me about mess,hostel
I want to know Tell me about wifi facility,hostel
Kindly What courses are offered in tuition fee?,fees
I want to know What is canteen?,infrastructure
I want to know Is campus free for students?,infrastructure
Can you please Duration of Electrical department course?,electrical_courses
I want to know What are the subjects in boys hostel?,hostel
I want to know Is B.Tech fees available on campus?,fees
I want to know Does NIET offer internship?,placement
Kindly Eligibility for Civil department?,civil_courses
Kindly Tell me about medical facilities,infrastructure
Kindly Give me information about hostel at NIET,hostel
Can you please What courses are offered in ac room?,hostel
Kindly Does NIET offer admission process?,admissions
Please What is gym?,infrastructure
Kindly Give me details of B.Tech fees,fees
Please Hostel fees for placement training students?,placement
Duration of direct admission course?,admissions
Kindly Is B.Tech fees available at NIET?,fees
Please Placement details for JEE admission,admissions
Please How is boys hostel at NIET?,hostel
What courses are offered in MBA fees?,fees
Is AI program available at NIET?,ai_courses
Please Hostel fees for AI and ML students?,ai_courses
Please Duration of admission process course?,admissions
I want to know What labs are available for medical facilities students?,infrastructure
What is campus?,infrastructure
Give me information about gym at NIET,infrastructure
Kindly Does NIET have hostel facilities?,hostel
What are the features of hostel?,hostel
I want to know How is the tuition fee at NIET?,fees
What is the syllabus for mess?,hostel
What is M.Tech fees?,fees
Kindly Fees for college fees program?,fees
I want to know Provide some information on Mechanical course,mechanical_courses
Can you please Can I apply for highest package?,placement
Please Can you explain about placement training?,placement
Hostel fees for Mechanical department students?,mechanical_courses
Kindly Placement details for internship,placement
Hostel fees for AI program students?,ai_courses
I want to know Eligibility for admission process?,admissions
What is the syllabus for wifi?,hostel
I want to know Career opportunities in admission,admissions
I want to know Can you explain about wifi?,hostel
Can you please Give me information about boys hostel at NIET,hostel
Kindly Is canteen available at NIET?,infrastructure
Please What is the syllabus for B.Tech fees?,fees
Kindly Fees for AI and ML program?,ai_courses
I want to know Career opportunities in B.Tech fees,fees
I want to know Hostel fees for girls hostel students?,hostel
I want to know What is the syllabus for Civil Engineering?,civil_courses
Please Is college fees available at NIET?,fees
I want to know Does NIET offer B.Tech fees?,fees
I want to know Placement details for Mechanical course,mechanical_courses
I want to know What courses are offered in admission date?,admissions
Placement details for campus,infrastructure
Can you please Eligibility for admission process?,admissions
Does NIET offer MBA fees?,fees
Does NIET offer girls hostel?,hostel
I want to know What are the subjects in tuition fee?,fees
Is ac room available at NIET?,hostel
Kindly Eligibility for MCA fees?,fees
What services are included in wifi?,infrastructure
I want to know Does NIET have sports facilities?,infrastructure
Can you please What is the syllabus for admission?,admissions
Kindly Give me details of CS branch,cse_courses
I want to know Is wifi free for students?,hostel
I want to know Does hostel provide college fees?,fees
I want to know What courses are offered in JEE admission?,admissions
I want to know What are the subjects in Data Science?,ai_courses
Can you explain about wifi?,hostel
Kindly Duration of boys hostel course?,hostel
I want to know Career opportunities in Electrical Engineering,electrical_courses
Fees for Electrical course program?,electrical_courses
Please Placement details for installment payment,fees
Tell me about placement,placement
Kindly Does NIET offer installment payment?,fees
Kindly How is the tuition fee at NIET?,fees
What labs are available for library students?,infrastructure
Kindly What are the features of gym?,infrastructure
Hostel fees for Electrical Engineering students?,electrical_courses
Please Is installment payment free for students?,fees
Can you please What are the subjects in wifi?,hostel
Kindly Is mess available at NIET?,hostel
Can you please Eligibility for Electrical Engineering?,electrical_courses
Kindly Does NIET offer hostel facilities?,hostel
Please Give me details of Civil department,civil_courses
Kindly What are the subjects in mess?,hostel
Duration of companies course?,placement
